date,sentiment_pos,sentiment_neg,sentiment_neu,total_tweets,polarity
2017-08-10,1,0,0,1,1.0
2017-08-14,0,1,0,1,-1.0
2017-08-31,1,0,1,2,1.0
2017-09-01,0,2,0,2,-1.0
2017-09-04,0,1,0,1,-1.0
2017-09-19,1,0,0,1,1.0
2017-09-28,1,0,2,3,1.0
2017-11-28,1,0,0,1,1.0
2017-11-29,0,1,0,1,-1.0
2017-12-12,1,2,1,4,-0.3333333333333333
2017-12-24,1,0,0,1,1.0
2018-01-15,1,0,1,2,1.0
2018-01-25,0,1,0,1,-1.0
2018-01-29,1,0,1,2,1.0
2018-02-02,1,0,5,6,1.0
2018-02-13,1,0,2,3,1.0
2018-02-14,0,1,4,5,-1.0
2018-02-16,1,1,1,3,0.0
2018-02-18,1,0,3,4,1.0
2018-02-21,1,0,1,2,1.0
2018-02-22,1,0,0,1,1.0
2018-03-03,1,0,0,1,1.0
2018-03-05,1,0,0,1,1.0
2018-03-15,0,1,2,3,-1.0
2018-03-23,1,0,0,1,1.0
2018-04-20,0,1,1,2,-1.0
2018-04-21,0,1,0,1,-1.0
2018-04-27,0,1,1,2,-1.0
2018-05-05,0,1,1,2,-1.0
2018-05-13,0,1,4,5,-1.0
2018-05-16,1,0,0,1,1.0
2018-05-17,1,0,0,1,1.0
2018-05-27,1,0,0,1,1.0
2018-06-24,1,0,0,1,1.0
2018-07-07,1,0,0,1,1.0
2018-07-20,2,0,2,4,1.0
2018-07-24,1,0,0,1,1.0
2018-07-25,0,1,0,1,-1.0
2018-08-09,0,1,0,1,-1.0
2018-08-28,1,1,0,2,0.0
2018-09-14,1,0,0,1,1.0
2018-09-25,1,0,2,3,1.0
2018-11-09,1,0,0,1,1.0
2018-12-07,1,0,1,2,1.0
2018-12-22,1,0,0,1,1.0
2018-12-31,1,0,0,1,1.0
2019-02-19,1,0,0,1,1.0
2019-05-01,1,0,2,3,1.0
2019-05-11,1,0,0,1,1.0
2019-05-14,1,0,0,1,1.0
2019-09-16,0,1,0,1,-1.0
2019-10-17,1,0,0,1,1.0
2019-12-18,1,0,0,1,1.0
2020-02-27,1,0,0,1,1.0
2020-04-14,0,1,1,2,-1.0
2020-05-16,1,0,0,1,1.0
2020-05-27,1,0,4,5,1.0
2020-05-28,1,0,8,9,1.0
2020-06-03,1,0,0,1,1.0
2020-06-04,1,0,0,1,1.0
2020-06-05,1,0,0,1,1.0
2020-06-09,1,0,0,1,1.0
2020-07-05,0,1,0,1,-1.0
2020-07-15,1,0,2,3,1.0
2020-08-08,1,0,0,1,1.0
