Date,Tweet Volume
2017-06-23,1
2017-06-24,4
2017-06-25,1
2017-06-26,0
2017-06-27,0
2017-06-28,0
2017-06-29,2
2017-06-30,1
2017-07-01,0
2017-07-02,0
2017-07-03,1
2017-07-04,1
2017-07-05,0
2017-07-06,0
2017-07-07,3
2017-07-08,0
2017-07-09,0
2017-07-10,0
2017-07-11,0
2017-07-12,1
2017-07-13,0
2017-07-14,1
2017-07-15,0
2017-07-16,1
2017-07-17,0
2017-07-18,0
2017-07-19,0
2017-07-20,0
2017-07-21,0
2017-07-22,2
2017-07-23,0
2017-07-24,0
2017-07-25,0
2017-07-26,0
2017-07-27,0
2017-07-28,0
2017-07-29,0
2017-07-30,0
2017-07-31,0
2017-08-01,1
2017-08-02,0
2017-08-03,0
2017-08-04,0
2017-08-05,1
2017-08-06,0
2017-08-07,0
2017-08-08,3
2017-08-09,6
2017-08-10,5
2017-08-11,2
2017-08-12,3
2017-08-13,7
2017-08-14,2
2017-08-15,4
2017-08-16,1
2017-08-17,2
2017-08-18,20
2017-08-19,0
2017-08-20,0
2017-08-21,2
2017-08-22,9
2017-08-23,9
2017-08-24,6
2017-08-25,6
2017-08-26,15
2017-08-27,10
2017-08-28,7
2017-08-29,6
2017-08-30,18
2017-08-31,19
2017-09-01,7
2017-09-02,10
2017-09-03,0
2017-09-04,4
2017-09-05,1
2017-09-06,5
2017-09-07,14
2017-09-08,11
2017-09-09,1
2017-09-10,1
2017-09-11,10
2017-09-12,10
2017-09-13,10
2017-09-14,10
2017-09-15,2
2017-09-16,10
2017-09-17,2
2017-09-18,13
2017-09-19,8
2017-09-20,10
2017-09-21,13
2017-09-22,5
2017-09-23,6
2017-09-24,11
2017-09-25,4
2017-09-26,3
2017-09-27,10
2017-09-28,8
2017-09-29,6
2017-09-30,1
2017-10-01,0
2017-10-02,0
2017-10-03,5
2017-10-04,6
2017-10-05,8
2017-10-06,2
2017-10-07,1
2017-10-08,1
2017-10-09,4
2017-10-10,3
2017-10-11,0
2017-10-12,10
2017-10-13,18
2017-10-14,2
2017-10-15,0
2017-10-16,3
2017-10-17,8
2017-10-18,7
2017-10-19,4
2017-10-20,2
2017-10-21,0
2017-10-22,0
2017-10-23,3
2017-10-24,6
2017-10-25,5
2017-10-26,10
2017-10-27,5
2017-10-28,0
2017-10-29,2
2017-10-30,5
2017-10-31,3
2017-11-01,3
2017-11-02,15
2017-11-03,2
2017-11-04,0
2017-11-05,1
2017-11-06,4
2017-11-07,4
2017-11-08,8
2017-11-09,4
2017-11-10,1
2017-11-11,3
2017-11-12,7
2017-11-13,4
2017-11-14,11
2017-11-15,8
2017-11-16,1
2017-11-17,6
2017-11-18,9
2017-11-19,1
2017-11-20,11
2017-11-21,8
2017-11-22,3
2017-11-23,1
2017-11-24,7
2017-11-25,6
2017-11-26,11
2017-11-27,3
2017-11-28,20
2017-11-29,9
2017-11-30,13
2017-12-01,8
2017-12-02,13
2017-12-03,12
2017-12-04,2
2017-12-05,9
2017-12-06,12
2017-12-07,13
2017-12-08,13
2017-12-09,6
2017-12-10,7
2017-12-11,13
2017-12-12,27
2017-12-13,11
2017-12-14,21
2017-12-15,20
2017-12-16,13
2017-12-17,12
2017-12-18,17
2017-12-19,16
2017-12-20,25
2017-12-21,10
2017-12-22,18
2017-12-23,6
2017-12-24,9
2017-12-25,5
2017-12-26,9
2017-12-27,17
2017-12-28,13
2017-12-29,11
2017-12-30,10
2017-12-31,10
2018-01-01,11
2018-01-02,6
2018-01-03,10
2018-01-04,7
2018-01-05,21
2018-01-06,3
2018-01-07,9
2018-01-08,34
2018-01-09,11
2018-01-10,10
2018-01-11,12
2018-01-12,21
2018-01-13,23
2018-01-14,16
2018-01-15,12
2018-01-16,20
2018-01-17,22
2018-01-18,20
2018-01-19,13
2018-01-20,12
2018-01-21,10
2018-01-22,21
2018-01-23,10
2018-01-24,12
2018-01-25,30
2018-01-26,45
2018-01-27,22
2018-01-28,25
2018-01-29,10
2018-01-30,31
2018-01-31,34
2018-02-01,28
2018-02-02,50
2018-02-03,16
2018-02-04,33
2018-02-05,24
2018-02-06,37
2018-02-07,31
2018-02-08,30
2018-02-09,50
2018-02-10,2
2018-02-11,6
2018-02-12,11
2018-02-13,35
2018-02-14,23
2018-02-15,23
2018-02-16,29
2018-02-17,40
2018-02-18,12
2018-02-19,14
2018-02-20,19
2018-02-21,16
2018-02-22,26
2018-02-23,26
2018-02-24,16
2018-02-25,4
2018-02-26,9
2018-02-27,18
2018-02-28,15
2018-03-01,6
2018-03-02,15
2018-03-03,19
2018-03-04,10
2018-03-05,11
2018-03-06,14
2018-03-07,17
2018-03-08,10
2018-03-09,11
2018-03-10,4
2018-03-11,2
2018-03-12,11
2018-03-13,11
2018-03-14,4
2018-03-15,7
2018-03-16,1
