,day,sentiment_pos,sentiment_neg,sentiment_neu,total_tweets
0,19-07-04,0,1,0,1
1,19-07-13,1,0,0,1
2,19-09-02,0,0,1,1
3,19-09-16,0,1,0,1
4,19-09-20,0,0,1,1
5,19-09-24,0,0,2,2
6,19-10-17,1,0,0,1
7,19-10-27,1,0,0,1
8,19-11-23,0,1,0,1
9,19-11-29,0,0,1,1
10,19-12-12,0,0,1,1
11,19-12-31,1,0,0,1
12,20-01-01,0,0,1,1
13,20-01-15,0,0,1,1
14,20-01-20,0,0,1,1
15,20-01-22,0,0,1,1
16,20-02-09,1,0,0,1
17,20-02-26,0,0,1,1
18,20-02-27,1,0,0,1
19,20-03-13,1,0,0,1
20,20-04-03,0,1,0,1
21,20-04-14,0,1,0,1
22,20-04-17,0,0,1,1
23,20-04-24,0,0,1,1
24,20-04-27,0,0,1,1
25,20-05-16,1,0,0,1
26,20-05-19,0,0,2,2
27,20-05-20,2,0,0,2
28,20-05-21,1,0,0,1
29,20-05-22,0,0,1,1
30,20-05-26,1,0,0,1
31,20-05-27,1,0,2,3
32,20-05-28,0,1,4,5
33,20-05-29,0,0,2,2
34,20-06-01,0,0,1,1
35,20-06-03,1,0,0,1
36,20-06-05,1,0,0,1
37,20-06-09,1,0,0,1
38,20-06-13,0,0,1,1
39,20-06-15,0,0,1,1
40,20-06-21,0,0,1,1
