,day,sentiment_pos,sentiment_neg,sentiment_neu,total_tweets
0,17-09-14,0,0,1,1
1,17-10-17,0,0,1,1
2,17-11-18,0,0,1,1
3,17-12-24,1,0,0,1
4,18-02-04,0,0,1,1
5,18-02-21,1,0,0,1
6,18-03-23,1,0,0,1
7,18-05-16,1,0,0,1
8,18-06-23,0,0,1,1
9,18-07-07,1,0,0,1
10,18-07-25,0,1,0,1
11,18-11-09,1,0,0,1
12,19-01-02,0,0,1,1
13,19-07-27,0,0,1,1
14,19-09-16,0,1,0,1
15,19-11-29,0,0,1,1
16,20-04-14,0,0,1,1
17,20-05-27,0,0,1,1
18,20-09-16,0,0,1,1
19,20-09-25,0,1,2,3
20,20-09-27,1,0,0,1
21,20-10-03,1,0,0,1
22,20-10-04,0,0,1,1
23,20-10-17,0,0,1,1
24,20-10-20,0,0,1,1
25,21-01-01,0,0,1,1
26,21-01-06,0,0,1,1
27,21-01-07,0,1,0,1
28,21-01-12,0,1,0,1
29,21-01-23,0,0,4,4
30,21-01-24,0,0,2,2
31,21-02-01,0,0,1,1
32,21-02-03,0,0,1,1
33,21-02-07,0,0,1,1
34,21-02-13,1,0,2,3
35,21-02-14,0,0,1,1
36,21-02-15,0,0,1,1
37,21-02-17,0,0,1,1
38,21-02-18,0,0,1,1
39,21-02-19,0,0,1,1
40,21-02-20,0,0,1,1
41,21-02-21,0,0,1,1
42,21-02-22,1,0,1,2
43,21-02-23,1,0,1,2
44,21-02-24,1,0,2,3
45,21-02-25,0,0,1,1
46,21-02-27,1,0,0,1
47,21-02-28,0,0,1,1
48,21-03-02,1,0,1,2
49,21-03-03,0,0,1,1
50,21-03-06,0,0,1,1
51,21-03-07,0,0,2,2
52,21-03-08,0,0,1,1
53,21-03-09,1,0,1,2
54,21-03-10,2,0,0,2
55,21-03-11,0,0,2,2
56,21-03-12,1,1,1,3
57,21-03-14,0,0,4,4
58,21-03-15,0,1,0,1
59,21-03-17,1,0,1,2
60,21-03-20,0,0,1,1
61,21-03-21,0,0,1,1
62,21-03-22,0,0,1,1
63,21-03-24,0,0,1,1
64,21-03-25,0,1,1,2
65,21-03-26,0,0,1,1
66,21-03-28,0,0,2,2
67,21-03-30,0,0,1,1
68,21-03-31,2,0,0,2
69,21-04-01,0,1,1,2
70,21-04-03,0,0,1,1
71,21-04-04,0,0,1,1
72,21-04-05,1,0,1,2
73,21-04-06,0,0,1,1
74,21-04-08,0,0,3,3
75,21-04-09,1,0,2,3
76,21-04-10,2,0,2,4
77,21-04-11,1,0,2,3
78,21-04-14,0,0,1,1
79,21-04-15,1,0,1,2
80,21-04-16,1,0,2,3
81,21-04-17,0,0,1,1
82,21-04-18,0,0,1,1
83,21-04-19,0,0,3,3
84,21-04-22,0,0,1,1
85,21-04-23,0,0,4,4
86,21-04-24,0,0,2,2
87,21-04-25,0,1,1,2
88,21-04-26,1,0,3,4
89,21-04-27,1,0,2,3
90,21-04-28,2,0,0,2
91,21-04-29,1,0,3,4
92,21-04-30,1,0,2,3
93,21-05-01,0,0,2,2
94,21-05-02,0,0,3,3
95,21-05-03,3,0,1,4
96,21-05-04,0,0,2,2
97,21-05-05,0,1,2,3
98,21-05-06,0,0,1,1
99,21-05-07,1,0,1,2
100,21-05-08,0,0,2,2
101,21-05-09,0,0,2,2
102,21-05-10,0,1,1,2
103,21-05-11,1,0,1,2
104,21-05-12,0,0,6,6
105,21-05-13,0,0,2,2
106,21-05-15,0,0,1,1
107,21-05-16,0,0,3,3
108,21-05-17,0,0,1,1
109,21-05-18,1,0,1,2
110,21-05-20,0,1,1,2
111,21-05-21,1,1,0,2
112,21-05-23,0,0,2,2
113,21-05-24,0,1,0,1
114,21-05-25,0,0,1,1
115,21-05-27,0,0,1,1
116,21-05-28,0,0,1,1
117,21-05-29,1,0,1,2
118,21-05-30,0,0,1,1
119,21-05-31,0,0,2,2
120,21-06-01,0,1,0,1
121,21-06-03,1,0,2,3
122,21-06-04,2,0,0,2
123,21-06-05,0,0,1,1
124,21-06-06,1,0,0,1
125,21-06-08,0,1,1,2
126,21-06-09,0,0,1,1
127,21-06-10,0,0,3,3
128,21-06-11,1,1,4,6
129,21-06-12,0,0,1,1
130,21-06-13,0,0,1,1
131,21-06-14,0,0,1,1
132,21-06-16,0,1,1,2
133,21-06-17,0,0,2,2
134,21-06-20,0,1,1,2
135,21-06-21,0,1,0,1
136,21-06-24,0,0,1,1
137,21-06-25,0,0,6,6
138,21-06-26,1,0,2,3
139,21-06-27,0,0,2,2
140,21-06-28,0,0,2,2
141,21-06-29,0,0,2,2
142,21-07-01,0,1,0,1
143,21-07-03,0,0,1,1
144,21-07-04,0,0,2,2
145,21-07-05,0,0,2,2
146,21-07-06,0,0,3,3
147,21-07-07,0,0,1,1
148,21-07-08,1,1,0,2
149,21-07-09,1,0,0,1
150,21-07-10,0,0,3,3
151,21-07-11,0,0,2,2
152,21-07-12,0,0,7,7
153,21-07-13,2,1,5,8
154,21-07-15,1,0,4,5
155,21-07-16,1,1,5,7
156,21-07-17,1,0,3,4
157,21-07-18,0,2,0,2
158,21-07-19,0,0,2,2
159,21-07-20,1,1,1,3
160,21-07-21,1,1,1,3
