DateTime,Number of sales,Active market wallets
2022-02-15,615,537
2022-02-16,607,531
2022-02-17,601,526
2022-02-18,592,521
2022-02-19,575,509
2022-02-20,568,506
2022-02-21,550,494
2022-02-22,528,477
2022-02-23,570,463
2022-02-24,479,405
2022-02-25,454,383
2022-02-26,486,378
2022-02-27,468,364
2022-02-28,462,355
2022-03-01,458,354
2022-03-02,445,334
2022-03-03,439,334
2022-03-04,426,327
2022-03-05,414,309
2022-03-06,359,304
2022-03-07,355,299
2022-03-08,355,297
2022-03-09,359,300
2022-03-10,355,291
2022-03-11,395,331
2022-03-12,434,372
2022-03-13,434,364
2022-03-14,429,359
2022-03-15,410,341
2022-03-16,416,345
2022-03-17,428,356
2022-03-18,456,379
2022-03-19,480,400
2022-03-20,488,406
2022-03-21,499,418
2022-03-22,499,418
2022-03-23,551,421
2022-03-24,560,430
2022-03-25,510,429
2022-03-26,502,423
2022-03-27,501,421
2022-03-28,518,427
2022-03-29,494,422
2022-03-30,581,420
2022-03-31,599,420
2022-04-01,598,421
2022-04-02,621,428
2022-04-03,619,424
2022-04-04,730,429
2022-04-05,735,434
2022-04-06,740,437
2022-04-07,739,438
2022-04-08,725,433
2022-04-09,724,435
2022-04-10,673,388
2022-04-11,635,341
2022-04-12,637,347
2022-04-13,646,362
2022-04-14,653,369
2022-04-15,650,366
2022-04-16,638,357
2022-04-17,615,333
2022-04-18,599,316
2022-04-19,590,311
2022-04-20,594,311
2022-04-21,601,317
2022-04-22,564,327
2022-04-23,560,324
2022-04-24,567,327
2022-04-25,595,338
2022-04-26,605,349
2022-04-27,553,349
2022-04-28,564,359
2022-04-29,495,362
2022-04-30,488,362
2022-05-01,484,364
2022-05-02,461,351
2022-05-03,469,356
2022-05-04,362,348
2022-05-05,357,344
2022-05-06,354,342
2022-05-07,353,338
2022-05-08,361,341
2022-05-09,371,349
2022-05-10,380,356
2022-05-11,388,359
2022-05-12,397,370
2022-05-13,398,371
2022-05-14,392,367
2022-05-15,457,387
2022-05-16,460,393
2022-05-17,459,393
2022-05-18,453,390
2022-05-19,455,391
2022-05-20,544,384
2022-05-21,531,372
2022-05-22,513,360
2022-05-23,516,359
2022-05-24,507,356
2022-05-25,474,345
2022-05-26,472,340
2022-05-27,481,352
2022-05-28,471,341
2022-05-29,447,329
2022-05-30,443,330
2022-05-31,449,333
2022-06-01,448,333
2022-06-02,440,325
2022-06-03,437,318
2022-06-04,436,318
2022-06-05,434,315
2022-06-06,433,318
2022-06-07,427,315
2022-06-08,419,308
2022-06-09,419,305
2022-06-10,414,307
2022-06-11,400,292
2022-06-12,397,295
2022-06-13,414,306
2022-06-14,378,311
2022-06-15,390,316
2022-06-16,396,328
2022-06-17,408,341
2022-06-18,499,418
2022-06-19,485,507
2022-06-20,526,542
2022-06-21,539,551
2022-06-22,532,548
2022-06-23,536,550
2022-06-24,546,555
2022-06-25,546,550
2022-06-26,549,551
2022-06-27,550,548
2022-06-28,559,564
2022-06-29,553,561
2022-06-30,549,557
2022-07-01,548,557
2022-07-02,552,559
2022-07-03,757,567
2022-07-04,778,569
2022-07-05,777,571
2022-07-06,777,570
2022-07-07,777,567
2022-07-08,785,574
2022-07-09,825,605
2022-07-10,842,618
2022-07-11,846,624
2022-07-12,884,621
2022-07-13,889,628
2022-07-14,876,610
2022-07-15,888,616
2022-07-16,912,630
2022-07-17,939,640
2022-07-18,858,583
2022-07-19,772,507
2022-07-20,740,482
2022-07-21,731,479
2022-07-22,731,477
2022-07-23,725,471
2022-07-24,717,466
2022-07-25,709,458
2022-07-26,694,442
2022-07-27,695,444
2022-07-28,694,441
2022-07-29,694,441
2022-07-30,690,436
2022-07-31,688,431
2022-08-01,710,436
2022-08-02,755,430
2022-08-03,745,437
2022-08-04,748,446
2022-08-05,755,446
2022-08-06,762,449
2022-08-07,757,445
2022-08-08,709,409
2022-08-09,726,399
2022-08-10,730,399
2022-08-11,684,387
2022-08-12,667,379
2022-08-13,649,362
2022-08-14,624,333
2022-08-15,594,314
2022-08-16,551,276
2022-08-17,542,260
2022-08-18,549,254
2022-08-19,545,249
2022-08-20,545,247
2022-08-21,552,253
2022-08-22,563,258
2022-08-23,564,257
2022-08-24,567,257
2022-08-25,570,256
2022-08-26,583,258
2022-08-27,575,257
2022-08-28,569,251
2022-08-29,572,250
2022-08-30,751,249
2022-08-31,736,237
2022-09-01,486,234
2022-09-02,472,224
2022-09-03,467,216
2022-09-04,474,211
2022-09-05,464,208
2022-09-06,464,202
2022-09-07,469,199
2022-09-08,429,194
2022-09-09,420,182
2022-09-10,416,174
2022-09-11,412,166
2022-09-12,412,165
2022-09-13,409,167
2022-09-14,415,166
2022-09-15,424,169
2022-09-16,420,167
2022-09-17,409,166
2022-09-18,408,165
2022-09-19,408,163
2022-09-20,397,155
2022-09-21,390,152
2022-09-22,390,148
2022-09-23,383,148
2022-09-24,386,149
2022-09-25,368,144
2022-09-26,369,144
2022-09-27,383,152
2022-09-28,532,162
2022-09-29,433,168
2022-09-30,421,171
2022-10-01,444,177
2022-10-02,449,177
2022-10-03,452,178
2022-10-04,441,182
2022-10-05,452,185
2022-10-06,449,187
2022-10-07,445,189
2022-10-08,445,191
2022-10-09,441,189
2022-10-10,438,188
2022-10-11,435,187
2022-10-12,435,189
2022-10-13,437,187
2022-10-14,434,188
2022-10-15,427,185
2022-10-16,427,183
2022-10-17,434,190
2022-10-18,433,191
2022-10-19,430,193
2022-10-20,435,194
2022-10-21,438,201
2022-10-22,445,203
2022-10-23,451,207
2022-10-24,447,202
2022-10-25,453,207
2022-10-26,486,213
2022-10-27,698,213
2022-10-28,552,206
2022-10-29,475,203
2022-10-30,470,204
2022-10-31,452,203
2022-11-01,476,210
2022-11-02,476,212
2022-11-03,477,214
2022-11-04,479,215
2022-11-05,474,208
2022-11-06,470,202
2022-11-07,473,197
2022-11-08,486,201
2022-11-09,500,213
2022-11-10,514,228
2022-11-11,515,231
2022-11-12,520,236
2022-11-13,510,229
2022-11-14,519,241
2022-11-15,534,253
2022-11-16,532,252
2022-11-17,536,260
2022-11-18,547,264
2022-11-19,545,265
2022-11-20,543,260
2022-11-21,538,257
2022-11-22,544,265
2022-11-23,546,262
2022-11-24,614,259
2022-11-25,626,258
2022-11-26,407,260
2022-11-27,401,257
2022-11-28,399,260
2022-11-29,413,267
2022-11-30,413,270
2022-12-01,387,263
2022-12-02,390,266
2022-12-03,389,271
2022-12-04,375,265
2022-12-05,376,266
2022-12-06,392,273
2022-12-07,396,276
2022-12-08,390,274
2022-12-09,378,264
2022-12-10,366,249
2022-12-11,370,250
2022-12-12,365,244
2022-12-13,376,251
2022-12-14,367,241
2022-12-15,353,229
2022-12-16,348,220
2022-12-17,341,213
2022-12-18,328,207
2022-12-19,332,206
2022-12-20,332,203
2022-12-21,330,204
2022-12-22,324,198
2022-12-23,358,204
2022-12-24,298,202
2022-12-25,253,196
2022-12-26,246,192
2022-12-27,247,193
2022-12-28,258,197
2022-12-29,257,196
2022-12-30,263,197
2022-12-31,270,201
2023-01-01,268,203
2023-01-02,268,199
2023-01-03,272,201
2023-01-04,284,208
2023-01-05,281,207
2023-01-06,292,211
2023-01-07,289,210
2023-01-08,296,216
2023-01-09,296,215
2023-01-10,296,214
2023-01-11,294,216
2023-01-12,312,218
2023-01-13,313,219
2023-01-14,316,218
2023-01-15,320,225
2023-01-16,343,234
2023-01-17,352,235
2023-01-18,353,240
2023-01-19,361,241
2023-01-20,364,241
2023-01-21,361,235
2023-01-22,345,235
2023-01-23,336,238
2023-01-24,339,240
2023-01-25,346,243
2023-01-26,357,246
2023-01-27,347,247
2023-01-28,337,244
2023-01-29,329,242
2023-01-30,325,237
2023-01-31,332,236
2023-02-01,337,240
2023-02-02,339,240
2023-02-03,341,242
2023-02-04,328,233
2023-02-05,311,223
2023-02-06,312,223
2023-02-07,309,217
2023-02-08,320,220
2023-02-09,336,216
2023-02-10,343,224
2023-02-11,317,215
2023-02-12,317,215
2023-02-13,324,220
2023-02-14,324,221
