,date,from,to,eth_price,punk_id,type,gender,skin_tone,attr_count,attributes,skin_tone_color,img_url
4265,4/6/19,336,4411,31,1,Human,Male,Dark,2,"['Smile', 'Mohawk']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk1.png
1025,7/13/17,166,4540,0.9,14,Human,Female,Dark,3,"['Pipe', 'Pilot Helmet', 'Hot Lipstick']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk14.png
1026,7/17/17,4540,5394,1.85,14,Human,Female,Dark,3,"['Pipe', 'Pilot Helmet', 'Hot Lipstick']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk14.png
1027,12/7/18,5394,204,2.5,14,Human,Female,Dark,3,"['Pipe', 'Pilot Helmet', 'Hot Lipstick']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk14.png
10150,2/1/21,166,5853,20,53,Human,Female,Light,2,"['Big Shades', 'Straight Hair']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk53.png
10151,2/19/21,5853,920,22,53,Human,Female,Light,2,"['Big Shades', 'Straight Hair']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk53.png
10152,8/23/21,798,292,129.99,53,Human,Female,Light,2,"['Big Shades', 'Straight Hair']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk53.png
8198,9/6/20,920,6083,19.99,89,Human,Female,Dark,1,['Choker'],#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk89.png
829,7/11/17,166,4540,1.2,116,Human,Female,Dark,4,"['Black Lipstick', 'Tiara', 'Earring', 'Clown Eyes Blue']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk116.png
830,7/17/17,4540,5394,2.4,116,Human,Female,Dark,4,"['Black Lipstick', 'Tiara', 'Earring', 'Clown Eyes Blue']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk116.png
12493,3/11/21,284,921,20.25,118,Human,Female,Light,2,"['Black Lipstick', 'Bandana']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk118.png
12494,5/4/21,921,898,20.45,118,Human,Female,Light,2,"['Black Lipstick', 'Bandana']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk118.png
12405,3/7/21,4045,4364,15,124,Human,Male,Medium,3,"['Normal Beard Black', 'Peak Spike', 'Earring']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk124.png
12406,3/8/21,4364,4412,19.9,124,Human,Male,Medium,3,"['Normal Beard Black', 'Peak Spike', 'Earring']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk124.png
12407,6/10/21,4412,1417,17,124,Human,Male,Medium,3,"['Normal Beard Black', 'Peak Spike', 'Earring']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk124.png
13594,4/6/21,5245,2916,14.5,138,Human,Male,Light,2,"['Stringy Hair', 'Horned Rim Glasses']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk138.png
