date,from,to,eth_price,punk_id,type,gender,skin_tone,attr_count,attributes,skin_tone_color,img_url,dte
2017-06-23,1406,888,0.2,4641,Human,Female,Light,3,"['Purple Eye Shadow', 'Wild Blonde', 'Cigarette']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk4641.png,2017-06-23
2017-06-23,1406,1218,0.04,5719,Human,Female,Medium,3,"['Welding Goggles', 'Dark Hair', 'Cigarette']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk5719.png,2017-06-23
2017-06-23,1406,1218,0.06,6208,Human,Male,Medium,2,"['Shadow Beard', 'Earring']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk6208.png,2017-06-23
2017-06-23,166,4722,0.1,5056,Human,Male,Albino,4,"['Beanie', 'Luxurious Beard', 'Earring', 'VR']",#F2DC5D,https://www.larvalabs.com/cryptopunks/cryptopunk5056.png,2017-06-23
2017-06-23,1406,2518,0.2,5545,Human,Female,Albino,5,"['Vape', 'Hot Lipstick', 'Wild Hair', 'Earring', '3D Glasses']",#F2DC5D,https://www.larvalabs.com/cryptopunks/cryptopunk5545.png,2017-06-23
2017-06-23,1406,2518,0.25,1841,Human,Female,Dark,3,"['Black Lipstick', 'Green Eye Shadow', 'Mohawk Thin']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk1841.png,2017-06-23
2017-06-23,1406,166,0.01,3134,Human,Male,Medium,3,"['Gold Chain', 'Crazy Hair', 'Regular Shades']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk3134.png,2017-06-23
2017-06-23,1406,1218,0.116,8781,Human,Male,Light,4,"['Frown', 'Big Shades', 'Shadow Beard', 'Knitted Cap']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk8781.png,2017-06-23
2017-06-23,1406,888,0.107,6318,Human,Male,Light,4,"['Eye Mask', 'Earring', 'Mohawk', 'Mole']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk6318.png,2017-06-23
2017-06-23,1406,2518,0.3,5633,Human,Male,Dark,3,"['Big Shades', 'Shadow Beard', 'Top Hat']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk5633.png,2017-06-23
2017-06-23,1406,1218,0.03,6548,Human,Male,Albino,4,"['Front Beard', 'Earring', 'Do-rag', 'Clown Eyes Green']",#F2DC5D,https://www.larvalabs.com/cryptopunks/cryptopunk6548.png,2017-06-23
2017-06-23,1406,2518,0.131,8878,Human,Male,Albino,3,"['Cigarette', 'Bandana', 'Normal Beard']",#F2DC5D,https://www.larvalabs.com/cryptopunks/cryptopunk8878.png,2017-06-23
2017-06-23,1406,1904,0.3,5916,Human,Male,Medium,2,"['VR', 'Mohawk Dark']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk5916.png,2017-06-23
2017-06-23,1406,1218,0.06,4025,Human,Male,Dark,3,"['Normal Beard', 'Knitted Cap', 'Small Shades']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk4025.png,2017-06-23
2017-06-23,1406,1218,0.03,5621,Human,Female,Medium,3,"['Straight Hair Blonde', 'Classic Shades', 'Purple Lipstick']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk5621.png,2017-06-23
2017-06-23,1406,1904,0.09,6934,Human,Male,Medium,3,"['Messy Hair', 'Luxurious Beard', 'Classic Shades']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk6934.png,2017-06-23
2017-06-23,1406,1218,0.06,5624,Human,Male,Light,3,"['Peak Spike', 'Earring', 'Eye Patch']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk5624.png,2017-06-23
2017-06-24,820,4722,0.15,5167,Human,Female,Light,3,"['Gold Chain', 'Crazy Hair', 'Purple Lipstick']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk5167.png,2017-06-24
2017-06-24,858,1630,0.5,5138,Human,Male,Medium,3,"['Earring', 'VR', 'Mohawk Dark']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk5138.png,2017-06-24
2017-06-24,1406,1904,0.35,4445,Human,Male,Light,2,"['Peak Spike', 'Small Shades']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk4445.png,2017-06-24
2017-06-24,820,1406,0.15,9131,Human,Female,Light,3,"['Black Lipstick', 'Crazy Hair', 'Earring']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk9131.png,2017-06-24
2017-06-24,5744,4492,0.335,1050,Human,Female,Medium,0,[''],#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk1050.png,2017-06-24
