Unnamed: 0,Date,Tweets,paper_text_processed,tweet_without_stopwords
25,2021-07-21 21:58:16+00:00,I it bad to be exually attracted to a certain cryptopunk 💀  I'm like yo I kind of low-key want him in my life,is it bad to be sexually attracted to a certain cryptopunk 💀  i'm like yo i kind of low-key want him in my life,bad sexually attracted certain cryptopunk 💀 like yo kind low-key want life
36,2021-07-21 13:50:41+00:00,"NFT 🤝 Fractional Alt Aet Inveting

Meet CryptoPunk #9670 coming oon @OnRallyRd

Numbered to 10000 Punk launched in 2017 a one of the firt ETH NFT

#9670 i 1 of 3840 Female 1 of 10 Female with “Crazy Hair” &amp; “Nerd Glae”

In depth coverage pre-IPO @AltanInight http://tco/UcTVHN37a","nft 🤝 fractional alt asset investing

meet cryptopunk 9670 coming soon @onrallyrd

numbered to 10000 punks launched in 2017 as one of the first eth nft

9670 is 1 of 3840 females 1 of 10 females with “crazy hair” &amp; “nerd glasses”

in depth coverage pre-ipo @altaninsights https://tco/uctvhn3s7a",nft 🤝 fractional alt asset investing meet cryptopunk 9670 coming soon @onrallyrd numbered 10000 punk launched 2017 first eth nft 9670 1 3840 female 1 10 female “crazy hair” “nerd glasses” depth coverage pre-ipo @altaninsights https://tco/uctvhn3s7a
49,2021-07-21 01:44:37+00:00,"We are hiring a CryptoPunk a a ocial media intern here on twitter for month of Augut Thi Punk i owned by @g3nLabJoh who ha generouly granted u uage of Punk 3356

We are building omething really freaking cool for the ecoytem and are excited to hare with y'all http://tco/bMoo1qPTh5","we are hiring a cryptopunk as a social media intern here on twitter for month of august this punk is owned by @g3nlabsjosh who has generously granted us usage of punk 3356

we are building something really freaking cool for the ecosystem and are excited to share with y'all https://tco/bmoo1qpth5",hiring cryptopunk social medium intern twitter month august owned @g3nlabsjosh generously granted u usage 3356 building something really freaking cool ecosystem excited share y'all https://tco/bmoo1qpth5
62,2021-07-20 18:35:01+00:00,"If Jay-Z i one of the world' mot culturally influential figure and hi twitter picture i a CryptoPunk where do you think thi i headed 🤔😁

via @garyvee http://tco/arcLyRfMwN","if jay-z is one of the world's most culturally influential figures and his twitter picture is a cryptopunk where do you think this is headed 🤔😁

via @garyvee https://tco/arclyrfmwn",jay-z world's culturally influential figure twitter picture cryptopunk think headed 🤔😁 via @garyvee https://tco/arclyrfmwn
68,2021-07-20 17:13:21+00:00,"🚨 Ye hi hello Would you like the teal of a lifetime

How about the x-ray of CryptoPunk #2336 for jut Ξ008 on the econdary market ☠️

That' below floor it' baically in the baement ayooo http://tco/2p3UpC37iT http://tco/876YEq5PfH","🚨 yes hi hello would you like the steal of a lifetime

how about the x-ray of cryptopunk 2336 for just ξ008 on the secondary market ☠️

that's below floor it's basically in the basement ayooo https://tco/2p3upc37it https://tco/876yeq5pfh",🚨 yes hi hello would like steal lifetime x-ray cryptopunk 2336 ξ008 secondary market ☠️ that's floor basically basement ayooo https://tco/2p3upc37it https://tco/876yeq5pfh
74,2021-07-20 08:21:40+00:00,@DappRadar @RealSupDuck finally a NFTcollection with cool dank deign cryptopunk BAYC DOGE pound not o great deign IMO,@dappradar @realsupducks finally a nftcollection with cool dank design cryptopunk bayc doge pound not so great design imo,@dappradar @realsupducks finally nftcollection cool dank design cryptopunk bayc doge pound great design imo
106,2021-07-19 14:52:56+00:00,cryptopunk owner are really weet lol they've all been following me back and i don't even know why,cryptopunk owners are really sweet lol they've all been following me back and i don't even know why,cryptopunk owner really sweet lol they've following back even know
119,2021-07-19 04:08:48+00:00,"I made a cryptopunk 7523 out of toy block  It look pretty plauible a it i framed and hung  Thi alien pixel art old at Sotheby' for $11754000  The world of nft i really amazing
#pixelart #cryptopunk #nftart #otheby http://tco/qn5faknGt","i made a cryptopunk 7523 out of toy blocks  it looks pretty plausible as it is framed and hung  this alien pixel art sold at sotheby's for 11754000  the world of nft is really amazing
pixelart cryptopunk nftart sotheby https://tco/qn5fsakngt",made cryptopunk 7523 toy block look pretty plausible framed hung alien pixel art sotheby's 11754000 world nft really amazing pixelart cryptopunk nftart sotheby https://tco/qn5fsakngt
122,2021-07-18 23:50:35+00:00,"A year ago my net worth wa like $600 (maybe negative with debt actually 😅) 

Yeterday I bought a CryptoPunk

Workin toward that generational wealth 

No amount of word can expre my gratitude to my collector peer and fellow artit 💕🚀
Together we can move mountain 🏔","a year ago my net worth was like 600 (maybe negative with debt actually 😅) 

yesterday i bought a cryptopunk

workin towards that generational wealth 

no amount of words can express my gratitude to my collectors peers and fellow artists 💕🚀
together we can move mountains 🏔",year ago net worth like 600 (maybe negative debt actually 😅) yesterday bought cryptopunk workin towards generational wealth amount word express gratitude collector peer fellow artist 💕🚀 together move mountain 🏔
136,2021-07-18 12:26:43+00:00,"Selling my emo cryptopunk He front a band he would decribe a creamo-pop with pot-rock/hoegaze breakdown They opened for Yellowcard lat ummer and killed it MTV ued one of their ong in a really tene cene in The Hill It' 2001
http://tco/DlBEdZXNIv","elling my emo cryptopunk he fronts a band he would describe as screamo-pop with post-rock/shoegaze breakdowns they opened for yellowcard last summer and killed it mtv used one of their songs in a really tense scene in the hills it's 2001
https://tco/dlbedzxniv",elling emo cryptopunk front band would describe screamo-pop post-rock/shoegaze breakdown opened yellowcard last summer killed mtv used song really tense scene hill 2001 https://tco/dlbedzxniv
153,2021-07-17 23:08:04+00:00,Really want to put a cryptopunk on the wedding regitry,really want to put a cryptopunk on the wedding registry,really want put cryptopunk wedding registry
