,Date,Tweets
0,2019-06-16 15:27:27+00:00,"This #3dglasses touting, #clown nose owning, dorag wearing #cryptopunk mofo will tear things up in #anaglyph so all you #nft will recognize #cryptoart is no f'n joke @larvalabs @CryptoPunks_Fan @cryptopunkart https://t.co/sCFeg4823k"
1,2019-05-30 20:19:20+00:00,"Feeling punkish? Check out the @cryptopunksbot to keep tabs on #CryptoPunk collectibles 😎 It's amazing to see how many punk #NFTs are traded on a weekly basis. If you're new to the scene make sure to explore the CP homepage, here: 

🔍 https://t.co/IcS3Q9nnby https://t.co/nJ5wchnBdd"
2,2019-05-25 05:09:12+00:00,Cameron Winklevoss has “cryptopunk” in his Twitter bio. What’s that?
3,2019-05-19 01:19:15+00:00,"Just finished transferring my @larvalabs CryptoPunk, my @CryptoKaijuIO Benedict (thank you guys for this), and my @CryptoKitties over to my @hellodapper account - 0x600122a7d6ed9d1e20151a66016f466c6e01f90c

They look super cool in my collection section of @opensea too 🥳 https://t.co/yt37OAbUCq"
4,2019-05-18 13:25:41+00:00,Autoglyph and Cryptopunk by @larvalabs  in da house @RareArtFest @BushXGenerator today! Come by the art gallery upstairs! https://t.co/oV8uLWrR9o
5,2019-05-15 18:47:17+00:00,"“What is the goal of crypto currency? It’s to spread across the world. We do not need the help of regulators. We do not need the help of the old order, the old order we are going to replace” - if this is not cryptopunk, I don’t know what may be. #consensus2019 https://t.co/1zlrYK0rvf"
6,2019-05-15 18:28:59+00:00,"Prepping Autoglpyh #67 and CryptoPunk #8432 for the @RareArtFest show this Saturday. Judging by the schedule it’s going to be awesome, hope to see everyone there! https://t.co/vwRDjNHgsm"
7,2019-05-14 21:17:54+00:00,"Another great artwork sold at @EtherealSummit’s auction! Congrats to #Cryptopunk creators and Snark advisors @pents90 and @matthall2000!

@cryptopunkart
#Snarkdotart #EtherealNY #blockchain #conference https://t.co/4GE3lGMHUm"
8,2019-05-11 22:10:42+00:00,"CRYPTOPUNK #910
Cryptopunk by @pents90 and @matthall2000 placed at @EtherealSummit auction today was sold above estimate at 7k$! Great result ! https://t.co/mHeT5iqa3L"
9,2019-05-07 19:46:34+00:00,"The Winklevosses came to the show without an easily accessible wallet &amp; no experience buying NFTs. 

They ended up with a rare CryptoPunk safely stored in a Nifty Wallet after a ~1 minute sign up.

If you want to build a NFT project that ANYONE can access instantly, get in touch! https://t.co/ppiuEj8aAn"
10,2019-05-06 14:09:10+00:00,"Yesterday @CADAFNYC (Contemporary And Digital Art Fair) CryptoPunk #4530 was sold via https://t.co/RVOOXr7ors to @winklevoss + @tylerwinklevoss 🚬 See and support the CADAF Collection of amazing artists right here 🔥 https://t.co/8nlOE3hdQW

#cryptopunk #crypto #art #share2steem https://t.co/vwKTaitqt7"
11,2019-05-06 06:26:23+00:00,The Winklevoss twins picking up a rare analog CryptoPunk at #CADAF last night from @pents90 and @matthall2000  (Photo credit @Sherone33 ) https://t.co/5OO9mVfsGF
12,2019-05-06 01:46:02+00:00,...that time when the Winklevoss twins bought a CryptoPunk...   Congrats to Matt Hall and John Watkinson of @larvalabs for their continued success!    @matthall2000 @pents90 @tylerwinklevoss @tylerwinklevoss @CADAFNYC https://t.co/y0SaAQucTI
13,2019-05-06 00:08:21+00:00,CryptoPunk #4530 just sold on OpenSea to @tylerwinklevoss and @winklevoss! Thanks to @CADAFNYC for running an amazing gallery and to @niftygateway for the USD-payment gateway https://t.co/OhtA4tDbdC
14,2019-05-01 20:49:16+00:00,We're also happy to be supporting the Foundation for Art and Blockchain with the donation of a print and matching digital ownership for CryptoPunk 910. You can read more about the process of creating the print here: https://t.co/Bavsnoqjaf https://t.co/DGnF5LIJwV
15,2019-05-01 17:12:51+00:00,"CRYPTOPUNK #910 by @larvalabs 

Archival print (40 cm x 40 cm) with custom #CryptoPunk wax sealed BIP-39 paper wallet containing digital ownership. 

Up for auction at #EtherealNY on May 11 by @PortionApp @cryptopunkart https://t.co/DPxWTsNWHL"
16,2019-05-01 17:11:08+00:00,"CRYPTOPUNK #910 by @larvalabs 

Archival print (40 cm x 40 cm) with custom #CryptoPunk wax sealed BIP-39 paper wallet containing digital ownership  

Up for auction at #EtherealNY on May 11 by @PortionApp @cryptopunkart https://t.co/XGUiVxz5D4"
17,2019-02-19 20:19:47+00:00,I will be speaking at @NFT_NYC tomorrow. Please come over to tell me your favorite CryptoPunk and why.
18,2019-01-08 17:13:37+00:00,"Yay $DRGN

... still underwater af https://t.co/LHVHgeNsTp"
19,2019-01-08 15:40:55+00:00,Going to be a fun weekend 🏗🤗 https://t.co/vfD0RsGypI
20,2019-01-02 19:45:55+00:00,"1/ This Xmas I bought my aunt a #cryptopunk. Giclee print with a paper wallet taped to the back. When I explained the concept, she got it immediately. 

Not only is it aesthetically pleasing and a physical object - it's unique, *truly* owned by her, and will value over time. https://t.co/gUZB3WFbfI"
21,2019-01-02 11:42:50+00:00,Back in the studio today for the first time in months. This #cryptopunk needs company! #paintapunk https://t.co/5rSlNCwDL6
22,2018-12-31 14:40:58+00:00,"ANNOUNCEMENT!
We have got our winners!

1st prize 👉CryptoPaulie
2nd prize👉d_ggoe2k
3rd prize👉SherwinH86
4th prize👉CryptoPunk_X
5th prize👉Ceypto_news
6th prize👉Saeed
7th prize👉CryptoPaul

Congratulations to all winners! 
 
Claim your prize via official telegram.
#btc"
23,2018-12-22 19:28:52+00:00,"Who's getting a @CryptoKitties and #cryptopunk for Christmas? 🎁🎨 

Tweet us a picture of your favorite #cryptocollectible!

@larvalabs @CodexProtocol"
24,2018-12-20 22:15:54+00:00,"CryptoPunkoftheDay #7311 Wearing a hat for crypto winter, 3D glasses for fright night and Magenta lipstick inspired by @Grandenchilada, this #cryptopunk is looking for creeps and weirdos...and oh for an accepted bid at .51 ETH Thank You. #paintapunk
https://t.co/Gih6yGy0gl https://t.co/kxfbWzCnoM"
25,2018-12-17 23:02:25+00:00,@grandenchilada is about to straighten her hair and buy magenta lipstick. Because everyone wants to look like their cryptopunk.
26,2018-11-28 22:35:05+00:00,"BTC @ $19,000: I'm selling my house to buy bitcoin. It's the future...

BTC @ $4,000: IDK man crypto is kinda risk. I think this time is dying for reals..."
27,2018-11-09 14:54:36+00:00,"I had a cryptokitty, and I think I have a cryptopunk or two kicking around somewhere, but this @GetGitcoin kudos is the first time I've really been excited by a nifty. https://t.co/5AjQbW7ZeI

Thanks @ililic, it means a lot coming from you. 🙇‍♂️ https://t.co/ALjsilZmsa"
28,2018-11-03 22:55:51+00:00,"A new mobile cryptopunk game allows users to get real prizes. Cybernetic humanoids fight in a futuristic post-apocalyptic world. #CT_Sponsored

https://t.co/MxFYASGEo2"
29,2018-10-31 08:31:37+00:00,"新作ブロックチェーンカード😍 by @joeychips 
""Not a CryptoPunk"" (NOCRYPTOPUNK), アプリBoO @BookofOrbs でご覧ください！ : 
https://t.co/O9N6alwQ7S

#blockchain #bookoforbs #everdreamsoft #bitcrystals #collectibles #rareart #DigitalArtist https://t.co/fNFrVKIaoa"
30,2018-10-11 15:21:10+00:00,"@kevinabosch @aiww Here’s a look at part of our solution to attaching digital ownership to physical prints of the CryptoPunks. Yes, that’s a custom CryptoPunk wax seal.  📩➡💌 https://t.co/L3wZCATRk7"
31,2018-10-08 07:34:17+00:00,Just bought my first #cryptopunk #nft #cryptocollectibles https://t.co/ubNmVRVJX1
32,2018-09-30 22:47:46+00:00,@IvanThrone @realDonaldTrump @theRealKiyosaki @RationalMale @ToneVays @aantonop @eds_manifesto @librefighting @21Convention I’m on it bruh! 👌🏻I’ll add it to my collection. https://t.co/shsDLN3eB3
33,2018-09-25 02:31:37+00:00,@RationalMale @AJA_Cortes @21Convention is way better for us men! Fuck @TEDTalks
34,2018-09-19 04:03:44+00:00,We're digging these #Cryptopunk digital pictures from @larvalabs created by John Watkinson based on @ethereum smart contracts: https://t.co/eVPsLo7mkH #eth #erc721
35,2018-09-17 03:52:35+00:00,"When all the Anti @HTMLCOIN #HTMLcoin $html #FUD fades away, the loud cry coming from the indignant perseverance of our community will be  #WeNeverGiveInNeverGiveUp #WNGINGU https://t.co/kZkL5Qrt9M"
36,2018-09-14 16:15:12+00:00,If you can’t see the infrastructure @HTMLCOIN has been developing for the past 8 months  and can’t understand that 2sats (because whales are manipulating value to gain more for less) per #HTMLcoin is an awesome opportunity to invest in your future...you’re blind. $html will #moon https://t.co/hlhvtN8ctl
37,2018-09-13 00:00:53+00:00,This is why #HTMLcoin is gonna rise. @HTMLCOIN $html https://t.co/7QJ4BU7shW
38,2018-09-03 19:50:27+00:00,@Panama_TJ She's asking to get punched in the face lmao...
39,2018-08-28 17:25:58+00:00,@tayparkinson Don’t change... keep doing what you’re doing. Bad guys need girls to use and abuse.
40,2018-08-27 10:50:16+00:00,"How about a fresh #Cryptage wallpaper to start the week off?😏 Find the whole pack available for download on our Discord server - just posted at: https://t.co/exI47IhTdF
#blockchaingame #cryptopunk #artwork #indiegame #indiedev #wallpaper https://t.co/bpBESKy8eW"
41,2018-08-11 21:36:53+00:00,@billmaher What did you do? #Qanon #Maga (Do you remember their names?) What did you do Billy? https://t.co/QiCrRdCbuJ
42,2018-07-26 09:36:00+00:00,"I created a gallery displaying my Cryptopunk collection in #VR on the #cryptovoxels platform.  10,000 collectable 8bit characters on #ethereum.  You can visit the shop 24/7 from anywhere in the world at: https://t.co/A0Q1bLaJGw

#cryptopunks #blockchain #virtual #reality #art https://t.co/jnTa6VDQ6E"
43,2018-07-23 22:26:15+00:00,@pt0kes 1 alt = 1 alt am I right?
44,2018-07-05 16:21:11+00:00,@JamesGRickards @Lagarde  https://t.co/H4Sm7kST3R
45,2018-06-30 01:23:14+00:00,@jeff5goodman @CNBCFastMoney @CryptoHayes Been hearing this for years. Thanks for the reminder though 😀
46,2018-06-23 00:24:39+00:00,@FOMOBYDICK I think he's actually from Iowa. 🤔
